@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C1-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C3-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C4-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C5-Lfirst-last-M-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C6-Lfirst-last-M-weka.filters.MultiFilter-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 1 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 2 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 3 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 4 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 5 -L first-last -M-Fweka.filters.unsupervised.instance.RemoveWithValues -S 0.0 -C 6 -L first-last -M-S1'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
21,0,17,0,3,20
28,5,15,19,3,20
30,12,17,15,2,1
50,10,10,10,3,27
24,11,20,20,1,15
26,13,17,18,2,16
37,8,14,21,2,13
24,11,20,23,2,1
19,7,14,16,3,14
21,13,17,0,3,17
24,14,21,21,2,15
30,10,18,18,6,14
41,14,15,18,1,17
36,10,14,17,2,1
30,6,12,0,1,6
31,7,14,20,2,14
34,9,15,21,1,1
25,10,15,19,6,22
36,5,5,5,2,5
18,6,12,17,3,13
20,6,16,0,3,12
29,12,16,21,3,21
53,9,24,12,2,9
49,12,15,18,3,30
34,15,20,22,1,20
31,12,16,18,2,15
26,13,14,16,3,1
47,13,13,13,3,22
22,10,12,16,2,10
25,10,15,18,3,20
38,12,13,17,2,1
36,16,17,17,2,16
27,11,15,17,2,19
28,13,17,21,2,15
38,11,13,18,2,19
22,12,18,0,3,18
36,13,15,20,1,29
47,12,12,19,2,12
30,7,13,13,2,1
34,4,18,19,2,1
26,12,15,16,2,15
27,13,0,0,6,26
38,10,17,17,3,15
15,8,5,0,3,12
33,7,29,32,2,7
25,9,9,15,3,19
33,10,12,17,2,1
40,9,16,17,1,12
34,9,12,21,3,14
42,9,15,15,2,8
33,12,15,17,3,17
47,9,13,13,3,1
23,5,15,20,3,21
27,8,18,0,1,1
25,12,14,20,3,23
42,12,22,22,2,4
26,8,16,18,1,12
22,7,0,0,6,13
28,12,17,18,1,17
35,9,15,18,2,14
17,12,13,14,6,1
30,15,15,15,1,20
40,15,18,18,2,15
40,9,10,12,2,10
31,5,20,20,3,6
21,12,12,21,2,1
38,9,12,15,2,7
27,15,15,18,3,20
20,13,13,13,2,12
21,10,10,18,3,21
29,13,6,15,6,27
34,13,17,21,2,18
24,13,0,0,3,23
44,8,12,12,2,14
18,0,0,0,6,1
40,10,18,18,2,18
33,12,12,16,3,25
32,12,13,13,3,13
29,15,15,15,1,15
29,12,15,18,3,16
40,17,17,24,2,21
43,20,16,16,2,21
40,14,20,21,2,17
26,12,16,20,3,15
28,6,13,20,2,1
43,10,10,12,2,11
16,7,11,14,2,10
24,12,13,17,3,1
20,8,14,15,2,1
18,9,15,0,3,11
20,9,9,14,1,15
35,16,19,19,2,16
19,8,15,18,3,17
20,9,0,0,6,20
16,12,14,14,2,14
22,19,13,13,3,21
47,5,17,22,3,16
27,12,19,19,2,14
29,6,6,19,2,1
35,8,17,17,2,11
40,12,12,13,2,1
26,12,17,19,2,1
26,10,17,14,3,1
33,13,16,18,1,1
23,15,18,19,2,14
33,12,15,18,2,15
37,8,8,18,6,1
37,16,16,16,2,12
23,8,8,15,6,15
37,10,15,25,3,32
39,12,13,14,2,13
32,8,10,15,6,8
31,11,13,13,3,25
25,4,14,18,2,13
37,13,13,17,2,13
25,10,7,19,3,16
26,12,16,18,2,1
25,11,13,13,2,12
24,6,9,13,6,1
55,6,18,25,1,1
15,13,0,0,1,13
35,14,18,19,2,21
32,15,17,17,3,15
38,16,16,16,3,18
22,10,13,14,3,17
33,7,19,17,3,18
19,10,14,0,1,1
36,10,20,20,1,10
40,5,17,19,3,1
23,10,15,19,3,18
21,14,0,0,6,20
31,11,15,15,2,15
41,12,15,20,1,14
23,12,13,17,6,14
49,5,10,19,3,22
27,10,16,18,2,1
26,6,15,15,3,12
35,12,16,18,3,15
27,17,21,21,1,1
44,10,15,17,2,1
19,13,13,16,3,14
43,8,12,21,3,1
55,7,18,22,2,7
47,5,23,27,2,4
43,10,7,16,3,30
42,16,16,19,2,1
26,12,15,17,3,13
42,15,15,20,3,19
28,18,18,18,2,17
28,10,16,17,2,1
21,10,15,0,2,1
50,12,34,35,1,1
21,12,17,20,3,20
36,9,17,17,2,11
36,13,15,16,1,14
29,17,15,17,2,15
28,7,8,8,2,9
33,10,14,14,2,12
38,8,15,19,2,1
54,5,14,18,3,33
28,13,14,16,3,17
32,10,23,23,3,18
19,8,15,16,3,18
25,9,13,14,6,19
31,10,10,18,3,16
23,12,12,18,2,15
29,11,12,17,1,14
33,13,22,25,2,1
34,13,17,18,1,13
19,12,12,0,6,1
24,12,19,20,2,1
29,15,17,17,2,15
35,12,13,17,2,14
28,14,12,15,3,19
26,10,15,15,2,15
39,13,16,17,1,16
57,12,22,23,2,19
22,11,0,0,6,21
49,14,13,22,3,21
18,10,14,0,6,12
42,10,16,26,2,25
33,15,17,17,1,16
17,15,0,0,3,1
27,22,22,23,6,25
36,4,14,14,2,4
36,10,15,16,2,7
27,12,12,13,3,1
21,8,12,15,3,1
27,13,14,16,1,15
27,5,12,14,2,1
38,5,8,26,6,1
34,10,18,18,2,1
34,7,10,18,2,6
28,12,15,17,3,15
33,12,20,20,3,1
23,8,13,15,3,12
37,13,25,25,2,13
34,10,10,13,2,18
35,13,17,17,3,20
20,14,14,14,6,19
20,10,16,16,1,14
17,12,14,0,3,14
20,12,17,17,2,10
51,5,6,7,2,6
41,11,18,27,2,15
26,8,14,14,6,14
29,9,19,21,3,16
36,11,17,20,2,12
30,8,13,13,2,8
31,14,19,22,3,1
30,6,17,17,3,29
17,10,13,0,3,11
19,12,14,0,3,16
20,10,9,16,1,15
37,19,24,24,1,22
24,6,16,16,3,1
33,10,14,18,2,1
22,9,14,17,1,15
17,10,14,0,6,1
23,6,0,0,3,1
23,12,17,18,2,15
25,5,18,22,1,16
36,4,14,19,2,1
35,8,14,21,2,7
18,6,15,16,3,15
28,12,12,16,3,1
28,15,15,15,6,22
18,11,0,0,6,17
25,7,19,19,3,16
21,13,14,19,2,15
42,15,21,21,2,15
30,12,13,17,1,16
49,12,13,14,2,1
26,5,15,15,2,1
34,10,19,19,1,19
41,8,10,10,2,12
29,8,14,15,2,1
22,14,15,17,3,16
18,12,13,15,3,12
28,18,15,16,2,17
20,12,14,17,2,1
62,14,14,16,3,1
30,6,11,14,3,13
31,12,13,18,1,1
21,5,18,18,3,13
28,5,14,21,6,1
33,12,14,16,3,15
29,8,16,16,3,21
29,12,12,16,3,9
34,7,17,19,3,33
28,6,13,19,1,15
20,14,15,15,1,15
40,12,16,16,2,22
34,10,16,21,2,12
20,14,0,0,2,14
21,10,19,19,3,15
34,12,12,18,3,15
31,12,13,16,3,17
45,6,10,11,2,1
26,5,19,19,1,5
29,11,18,18,3,16
15,13,0,0,2,1
33,6,19,20,2,11
34,4,12,21,1,4
26,6,12,12,2,6
28,15,18,18,3,1
41,6,6,5,2,12
24,13,21,23,2,15
24,11,13,20,1,19
22,12,18,0,3,18
34,12,17,17,2,16
28,9,14,16,3,1
19,10,14,0,1,1
24,9,16,21,3,20
22,12,18,18,1,12
22,14,15,20,3,16
55,15,18,18,2,15
19,11,19,0,3,13
27,4,14,14,3,15
26,12,16,16,3,12
21,12,17,18,2,1
30,10,15,17,3,15
35,5,17,21,3,18
33,15,17,17,2,14
34,14,15,17,3,31
44,5,11,15,3,35
32,12,5,23,2,1
29,10,17,20,3,20
21,5,14,15,3,14
25,15,16,19,3,17
22,12,15,18,1,14
34,11,11,17,2,12
26,13,14,15,6,12
26,13,15,16,3,19
34,9,17,17,2,1
27,13,14,15,2,13
32,12,12,17,2,17
24,15,16,18,2,17
42,10,23,24,3,15
30,5,8,18,2,15
17,4,6,16,3,13
29,5,16,19,3,1
21,11,15,15,1,13
31,12,13,15,2,13
38,8,14,17,1,8
28,10,13,19,3,1
21,5,0,0,2,12
27,13,17,18,2,15
32,5,15,15,1,13
34,11,13,18,3,27
28,8,14,18,3,1
18,7,15,15,3,7
42,5,12,13,2,1
46,12,13,21,3,21
62,12,13,15,3,18
32,12,10,15,2,13
21,13,14,14,1,14
32,11,0,0,3,18
31,5,23,23,3,19
16,9,13,0,3,13
19,7,15,18,3,14
19,11,0,0,3,18
37,12,12,17,2,14
37,12,15,27,3,1
21,18,16,16,3,21
21,6,6,16,3,19
23,7,12,16,3,17
35,14,14,15,2,15
15,4,0,0,1,4
30,10,9,16,2,1
26,6,13,16,2,11
26,20,20,20,3,20
23,12,22,23,1,22
33,14,20,20,1,20
16,13,0,0,2,15
36,13,14,15,3,18
22,10,17,18,3,17
15,12,8,0,6,13
20,13,14,15,3,14
55,16,17,17,2,21
26,15,19,19,3,18
38,12,15,15,2,12
44,11,16,20,2,13
19,11,11,17,2,14
26,5,14,19,2,1
19,10,14,19,3,15
30,9,13,18,3,16
21,16,17,15,6,18
20,15,16,0,3,18
25,10,12,18,6,16
19,5,16,19,3,12
19,8,11,14,6,11
25,10,12,17,6,13
30,11,12,18,3,25
28,10,13,13,2,10
26,5,14,17,3,17
29,16,16,17,2,16
35,12,13,22,2,17
35,10,10,23,1,1
24,5,22,0,2,1
39,5,16,20,1,33
26,6,9,13,2,8
23,9,14,19,2,1
27,17,16,19,2,20
18,0,0,0,6,16
50,5,13,13,3,16
32,15,18,21,2,18
27,12,13,16,2,15
20,15,16,0,1,18
20,10,14,0,3,14
27,3,12,15,3,5
33,12,12,16,1,15
25,13,15,17,2,15
24,6,0,0,3,23
32,8,12,17,3,15
30,5,15,18,2,1
30,15,18,18,2,15
23,12,12,13,2,1
16,3,0,0,2,16
32,5,12,8,2,6
29,7,19,19,2,7
28,12,17,23,3,15
39,11,11,11,2,11
33,7,10,21,2,1
31,16,21,21,1,1
33,12,12,17,3,21
36,12,17,20,2,1
24,8,14,17,2,1
42,4,8,12,3,1
35,12,14,15,3,24
28,11,11,19,3,19
25,14,19,19,3,16
56,8,10,16,3,30
16,14,14,16,6,1
35,12,19,22,1,30
42,14,27,27,2,11
16,9,16,16,6,9
44,10,13,13,2,15
20,5,14,16,1,19
20,12,15,16,2,1
37,11,11,20,1,15
29,5,11,14,3,11
53,7,14,14,2,1
36,8,13,22,1,8
20,4,18,18,2,1
32,11,15,27,1,11
36,13,13,14,6,35
40,8,12,16,1,1
27,14,17,13,2,15
22,9,16,18,6,20
28,13,15,17,3,27
27,11,14,14,2,6
29,18,18,19,1,18
31,7,17,18,1,17
28,6,8,19,3,15
21,10,0,0,1,13
31,11,14,19,1,1
17,9,15,9,3,16
41,5,16,19,3,1
56,5,5,10,2,17
52,8,20,20,2,8
24,6,12,0,3,15
25,9,16,19,3,22
32,8,18,18,2,1
23,10,13,15,3,18
35,10,23,25,2,13
15,6,7,0,3,14
27,5,17,18,3,22
29,6,6,22,3,10
25,14,14,19,3,14
20,6,11,0,3,1
19,8,15,15,6,1
26,6,11,13,1,10
26,10,16,20,3,1
18,10,15,0,3,18
31,12,15,15,2,9
20,12,19,19,2,16
35,9,13,19,2,17
53,12,25,25,3,45
19,12,15,0,1,15
22,9,13,16,3,9
36,11,17,17,2,11
28,15,18,20,2,11
36,18,18,18,3,18
27,5,14,16,3,5
30,15,28,26,1,24
20,6,16,0,3,19
19,14,14,15,6,18
27,7,12,14,1,12
25,8,18,18,6,8
25,9,14,18,2,11
27,12,12,13,3,16
43,10,17,25,3,1
31,10,16,17,2,10
39,12,12,12,2,1
26,12,14,14,3,17
21,12,12,20,3,20
37,6,24,24,1,6
23,12,15,18,2,1
20,14,16,18,3,16
29,5,6,29,2,1
29,11,17,17,6,16
34,9,9,17,3,17
27,18,19,22,3,18
30,15,15,18,1,21
25,17,15,15,1,17
19,11,12,15,3,12
23,16,16,18,3,11
44,7,21,21,2,1
21,15,19,19,3,20
37,15,18,25,2,11
62,5,19,19,6,3
21,13,18,18,3,19
36,11,11,18,2,19
29,8,14,14,2,15
36,10,13,17,2,1
35,11,12,19,2,1
43,4,18,21,1,39
23,18,21,21,3,18
22,11,16,20,2,12
17,12,14,0,3,15
48,7,15,19,6,40
18,13,14,0,2,15
22,18,0,0,3,18
23,12,18,18,2,11
26,8,21,0,6,20
21,14,15,15,3,20
35,10,5,5,2,15
36,14,14,19,3,30
43,8,13,16,2,10
28,13,14,19,3,20
35,12,18,28,2,15
25,10,12,16,3,16
32,5,18,21,6,1
38,11,11,15,2,13
26,13,17,18,1,17
35,13,12,10,2,17
54,7,14,17,3,1
30,12,15,15,1,22
27,4,13,17,1,1
21,12,0,0,6,21
30,5,10,21,1,11
17,14,0,0,6,1
21,4,0,0,2,1
21,9,9,16,1,16
24,13,15,18,2,1
28,13,13,13,2,12
25,13,13,0,1,22
28,16,16,17,3,26
32,12,12,21,3,20
33,11,13,16,2,19
24,6,12,19,3,1
20,17,20,0,6,20
41,6,9,9,2,1
36,13,14,15,2,1
30,9,10,18,3,24
37,7,10,17,2,1
30,12,16,22,3,24
40,5,10,14,2,1
20,14,14,15,3,1
38,5,12,23,2,15
20,19,13,0,3,18
26,5,15,16,3,9
30,11,12,21,1,1
37,14,15,24,2,1
26,12,13,19,2,20
22,12,15,17,6,15
32,9,16,21,1,20
30,6,13,13,3,16
23,11,14,16,2,10
22,4,12,18,3,15
40,5,5,5,3,1
29,11,17,17,2,15
17,10,14,15,3,13
36,8,15,5,2,8
23,12,15,16,1,12
16,6,6,15,2,8
29,9,14,16,2,11
32,12,17,17,3,15
28,6,16,20,2,1
33,14,19,24,2,1
20,12,12,14,3,18
63,8,11,11,3,11
32,6,15,16,3,17
38,17,15,26,2,17
21,10,0,0,3,20
45,8,15,24,3,26
55,11,12,18,2,15
41,7,23,24,2,17
26,11,16,10,3,10
23,12,18,0,3,20
32,12,14,14,2,15
35,12,14,12,3,20
29,15,16,24,3,26
27,12,15,15,2,1
29,10,18,18,2,15
25,13,13,21,3,22
57,13,18,25,2,24
41,11,19,19,2,11
38,10,13,13,2,11
28,10,15,16,2,1
30,12,14,18,1,1
17,6,17,0,6,15
22,5,15,19,1,15
34,9,9,16,3,18
36,12,13,18,6,16
28,10,14,17,2,19
26,8,12,13,3,12
29,9,15,19,3,22
31,14,16,20,2,18
42,12,12,25,1,15
24,5,18,0,3,8
37,12,15,18,1,16
40,8,8,17,1,17
43,4,15,18,2,14
48,11,21,22,2,23
45,25,29,36,3,30
28,14,17,17,2,1
24,7,13,17,3,20
34,6,16,21,3,20
53,11,15,20,6,40
33,11,11,20,1,20
28,15,18,18,2,1
35,13,18,21,2,15
25,12,13,17,3,13
29,11,12,18,3,13
30,6,6,16,2,10
53,4,21,14,2,4
38,16,18,19,1,16
39,6,12,17,3,6
25,12,15,19,3,18
38,17,21,26,1,1
28,13,18,22,2,23
33,6,9,18,2,1
23,11,15,20,3,16
35,14,12,25,2,17
41,11,22,23,2,11
48,11,20,21,2,1
33,12,22,30,2,22
44,13,19,24,2,20
22,10,17,0,3,15
47,5,5,17,3,21
36,13,16,20,1,18
37,15,29,29,2,1
40,13,12,12,2,1
20,11,16,19,3,19
32,12,15,15,2,15
31,0,14,14,6,27
38,12,16,16,2,15
34,12,15,17,6,24
18,12,15,17,3,15
31,13,16,19,3,19
31,14,16,16,2,1
28,16,16,18,3,18
29,12,15,15,3,22
19,6,17,0,3,1
18,13,18,18,2,1
25,7,13,22,2,12
24,14,15,18,3,1
30,5,22,23,1,22
32,14,16,16,1,15
20,10,17,17,1,15
29,15,15,16,3,23
34,16,16,16,2,16
31,7,13,16,3,1
29,12,12,27,2,16
21,5,20,20,2,1
25,8,20,24,3,19
30,10,12,18,1,10
37,13,13,22,3,16
35,12,13,17,3,24
30,12,14,14,2,6
63,5,5,19,3,9
27,9,16,21,3,17
29,13,24,0,3,1
42,12,12,19,3,27
46,21,21,21,2,18
16,11,0,0,3,14
27,9,18,20,2,1
28,10,14,16,3,14
31,15,15,21,1,21
50,6,11,16,2,1
29,6,13,13,2,6
33,10,10,21,2,1
21,14,15,15,3,17
25,10,15,16,3,15
36,11,17,25,2,1
37,14,23,23,3,14
21,11,18,18,2,16
15,11,12,0,3,13
39,13,18,18,2,18
46,10,21,28,2,27
49,5,13,14,3,7
23,18,19,0,3,19
23,15,13,16,2,17
25,11,16,19,6,1
21,10,18,18,6,16
23,9,16,17,2,17
54,12,16,18,2,12
27,13,19,19,2,15
23,12,12,17,2,22
54,18,22,25,2,22
26,9,14,14,2,12
15,6,15,0,2,6
17,0,13,0,6,16
16,3,0,0,3,1
27,6,10,15,3,16
21,12,12,20,6,21
31,6,8,17,1,5
30,11,13,19,3,22
38,7,17,18,1,13
33,13,15,9,2,1
57,15,22,22,2,12
36,11,10,10,6,11
32,11,16,15,2,1
23,9,21,0,3,23
18,0,0,0,6,14
26,13,14,15,2,13
20,10,14,0,3,15
23,10,15,17,3,14
37,8,25,28,3,1
30,14,14,18,2,1
28,5,10,19,3,1
33,12,6,21,3,20
28,12,17,21,1,21
17,13,14,15,6,14
29,4,5,15,3,1
37,8,12,14,2,1
30,17,16,19,2,18
37,12,17,25,3,32
37,18,18,18,2,18
44,0,0,16,1,1
34,18,18,22,3,18
48,11,19,28,2,1
25,8,13,17,3,24
52,8,13,19,2,1
21,12,20,20,2,13
36,10,15,22,6,12
60,14,14,18,3,28
46,6,18,18,6,1
36,8,17,17,3,20
55,20,17,23,1,38
39,9,20,20,3,39
42,10,20,25,2,8
30,9,17,23,3,20
20,7,17,0,3,13
20,13,17,17,1,13
31,14,16,16,2,9
27,5,10,19,2,1
20,8,17,18,6,19
