@relation 'conjunto_de_datos_tmodulo_endiseg_web_2022-weka.filters.unsupervised.attribute.Remove-R1,3-55,58-60,62-71,73-74,76-224-weka.filters.unsupervised.attribute.Normalize-S1.0-T0.0'

@attribute P4_1 numeric
@attribute P7_2 numeric
@attribute P7_3 numeric
@attribute P7_5 numeric
@attribute P8_1 numeric
@attribute P8_2 numeric

@data
0.328358,0.24,0.307692,0.161616,0.2,15
0.253731,0.08,0.115385,0.20202,0.2,1
0.179104,0.12,0.307692,0.171717,0.4,20
0.283582,0.28,0.307692,0.171717,0,10
0.223881,0.2,0.269231,0.181818,0.4,16
0.268657,0.26,0.326923,0.171717,0.4,19
0.164179,0.16,0.269231,0.242424,0.4,23
0.119403,0.24,0.25,0.131313,0,14
0.089552,0.26,0.269231,0.141414,0.2,13
0.268657,0.34,0.326923,0.212121,0.4,25
0.089552,0.22,0.25,0.181818,0.4,18
0.223881,0.24,0.288462,0.181818,0.4,15
0.58209,0.2,0.288462,0.151515,0.2,1
0.19403,0.1,0.365385,0.191919,0.2,8
0.552239,0.32,0.346154,0.242424,0.4,49
0.19403,0.24,0.288462,0.151515,0.6,?
0.283582,0.22,0.211538,0.161616,0,19
0.223881,0.22,0.288462,0,0.4,20
0.149254,0.32,0.326923,0.181818,0.4,16
0.19403,0.08,0.346154,0.181818,0.2,4
0.044776,0.24,0,0,0,13
0.41791,0.12,0.442308,0.232323,0.2,1
0.328358,0.22,0.307692,0.171717,1,30
0.179104,0.22,0.288462,0.161616,0,14
0.089552,0.3,0.307692,0.181818,0.6,?
0.134328,0.22,0.307692,0.191919,0.2,14
0.149254,0.36,0.384615,0.212121,0.4,19
0.328358,0.24,0.269231,0.272727,0.4,1
0.149254,0.24,0.307692,0.161616,0.2,17
0.402985,0.4,0.403846,0.212121,0.2,20
0.238806,0.14,0.365385,0.232323,0.4,25
0.223881,0.24,0.326923,0.181818,0,10
0.19403,0.12,0.153846,0.181818,0.4,1
0.283582,0.4,0.384615,0.242424,0.6,?
0.238806,0.26,0.25,0.222222,0.2,12
0.19403,0.56,0.326923,0.171717,1,28
0.089552,0.26,0,0,0.4,16
0.119403,0.34,0.365385,0.191919,0.4,18
0.373134,0.14,0.269231,0.212121,0.2,19
0.089552,0.28,0.346154,0.20202,0.4,18
0.268657,0.3,0.326923,0.181818,0.2,15
0.253731,0.22,0.307692,0.212121,0,11
0.223881,0.44,0.442308,0.252525,0.2,23
0.358209,0.2,0.230769,0.121212,0.4,16
0.044776,0.22,0.288462,0,0.2,17
0.298507,0.14,0.153846,0.131313,0.2,11
0.328358,0.12,0.153846,0.10101,0.4,12
0.208955,0.24,0.346154,0.181818,0,18
0.164179,0.32,0.384615,0.20202,0.4,19
0.19403,0.28,0.269231,0.171717,0.2,17
0.119403,0.2,0.423077,0,0.4,12
0.164179,0.2,0.346154,0.191919,0.2,11
0.19403,0.26,0.403846,0.212121,0.2,10
0.19403,0.12,0.403846,0.212121,0.2,1
0.358209,0.26,0.307692,0.222222,0.6,?
0.238806,0.16,0.288462,0.161616,0.4,24
0.701493,0.28,0.403846,0.222222,0.2,21
0.074627,0.24,0.365385,0,0.4,1
0.283582,0.18,0.461538,0.262626,0.4,24
0.253731,0.2,0.288462,0.161616,0.2,10
0.074627,0.22,0,0,0.4,16
0.059701,0.3,0.365385,0,1,18
0.328358,0.26,0.25,0.131313,0.2,13
0.089552,0.24,0.25,0,0.4,18
0.313433,0.2,0.230769,0.171717,0.2,12
0.328358,0.28,0.288462,0.151515,0.4,1
0.208955,0.28,0.326923,0.171717,0.2,14
0.402985,0.24,0.326923,0.232323,0.6,?
0.238806,0.16,0.307692,0.181818,0,19
0.104478,0,0,0,1,1
0.104478,0.16,0,0,1,20
0.223881,0.18,0.307692,0.181818,0.6,?
0.298507,0.24,0.403846,0.232323,1,19
0.134328,0.26,0.442308,0.232323,0.4,23
0.641791,0.28,0.346154,0.282828,0.6,?
0.283582,0.06,0.269231,0.161616,0.2,5
0.238806,0.1,0.326923,0.181818,0.2,18
0.298507,0.3,0.326923,0.181818,0.6,?
0.268657,0.22,0.211538,0.191919,0.4,22
0.283582,0.24,0.25,0.131313,0.2,13
0.41791,0.2,0.480769,0.252525,0.2,1
0.164179,0.32,0.326923,0.171717,0.2,17
0.597015,0.44,0,0.171717,0.4,45
0.253731,0.18,0.134615,0.090909,0.2,1
0.253731,0.24,0.307692,0.161616,0.4,20
0.179104,0.08,0.288462,0.212121,0.4,23
0.507463,0.16,0.25,0.171717,0.2,1
0.41791,0.24,0.25,0.131313,0.2,12
0.19403,0.12,0.326923,0.20202,0.2,1
0.253731,0.28,0.384615,0.20202,0.2,13
0.164179,0.24,0.365385,0.191919,0.2,19
0.223881,0.12,0.25,0.171717,0,16
0.149254,0.28,0.365385,0.191919,0.2,17
0.208955,0.3,0.365385,0.191919,0.2,20
0.358209,0.24,0.307692,0.161616,0.2,15
0.268657,0,0.326923,0.171717,0.6,?
0.179104,0.26,0.25,0.171717,0.6,?
0.179104,0.22,0.269231,0.171717,0.4,16
0.074627,0.24,0.230769,0.141414,0.8,?
0.19403,0.24,0.269231,0.141414,0.2,18
0.164179,0.3,0.307692,0.161616,0.2,15
0.104478,0.32,0.346154,0.20202,0.2,15
0.134328,0.2,0.365385,0.191919,0.2,10
0.343284,0.16,0.153846,0.131313,0.2,8
0.119403,0.18,0.230769,0.121212,0.2,1
0.402985,0.12,0.192308,0.212121,0.2,18
0.149254,0.14,0.269231,0.161616,0.4,16
0.19403,0.2,0.307692,0.181818,0,12
0.268657,0.2,0.211538,0.151515,0.4,1
0.074627,0.24,0,0,0.4,18
0.149254,0.1,0.269231,0.20202,0.2,1
0.328358,0.28,0.384615,0.212121,1,16
0.179104,0.24,0.307692,0.191919,0.4,13
0.268657,0.26,0.269231,0.151515,0.2,7
0.149254,0.08,0.134615,0.131313,1,4
0.134328,0.28,0.326923,0.181818,0.2,22
0.104478,0.26,0.326923,0.181818,0.4,20
0.223881,0.22,0.403846,0.212121,0.2,1
0.313433,0.2,0.230769,0.171717,0.4,1
0.089552,0,0,0,1,18
0.164179,0.26,0.326923,0.20202,0.2,16
0.313433,0.28,0.346154,0.181818,0.2,25
0.223881,0.24,0.384615,0.232323,0.2,10
0.268657,0.24,0.538462,0.313131,0.2,12
0.402985,0.3,0.346154,0.161616,0.4,19
0.38806,0.26,0.269231,0.151515,0.6,?
0.298507,0.14,0.307692,0.171717,0,14
0.283582,0.24,0.307692,0.212121,0.4,14
0.074627,0.16,0.269231,0.161616,1,13
0.58209,0.14,0.230769,0.212121,0.2,8
0.298507,0.26,0.326923,0.080808,0,25
0.074627,0.28,0.326923,0,0.4,16
0.029851,0.24,0.288462,0,0.4,14
0.074627,0.18,0.211538,0.121212,0.2,1
0.268657,0.28,0.346154,0.181818,0.4,17
0.238806,0.26,0.365385,0.232323,1,22
0.164179,0.14,0.230769,0.171717,0.2,7
0.253731,0.22,0.25,0.171717,0.4,17
0.19403,0.28,0.307692,0.171717,0.2,15
0.328358,0.22,0.384615,0.252525,0.2,27
0.119403,0.22,0.326923,0.181818,0.2,14
0.179104,0.16,0.442308,0,0.2,1
0.134328,0.1,0.211538,0.131313,1,8
0.19403,0.26,0.269231,0.181818,0.4,1
0.089552,0.22,0.403846,0.212121,0.4,16
0.134328,0.16,0.153846,0.171717,0.4,1
0.074627,0.12,0.230769,0.20202,0.4,14
0.208955,0.28,0.269231,0.181818,0.2,16
0.253731,0.24,0.230769,0.191919,0.2,1
0.268657,0.18,0.269231,0.141414,0.2,8
0.149254,0.28,0.403846,0,0,15
0.059701,0.28,0.307692,0,0.2,14
0.164179,0.18,0.25,0.151515,0.4,1
0.238806,0.2,0.288462,0.171717,0.8,?
0.223881,0.14,0.288462,0.131313,0.2,12
0.477612,0.2,0.365385,0.191919,0.8,?
